product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
DELL Inspiron Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and ...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.7
Infinix Y4 Max Series Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,low,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,5.0
WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,256.0,39.62,4.2
DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Lapt...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.3
Lenovo ThinkPad E14 Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen ...,low,Good,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,35.56,3.6
HP 240 G8 Intel Core i3 11th Gen 11th Generation Intel® Core™ i3 processor - (8 GB/512 GB SSD/DOS) 240...,very low,Good,Intel Core i3 Processor (11th Gen),8.0,DOS Operating System,512.0,35.56,3.5
HP 15s (2023) Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0011TU Thin and Li...,low,Excellent,Intel Core i5 Processor (13th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.2
HP Envy x360 Creator OLED Eyesafe Evo Intel Core i7 12th Gen 1250U - (16 GB/1 TB SSD/Windows 11 Home) ...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,1000.0,33.78,4.2
DELL Inspiron Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511...,low,Excellent,Intel Core i3 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,1000.0,39.62,4.3
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB...",low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.4
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,very low,Good,Intel Core i5 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,3.8
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,very low,Excellent,Intel Core i3 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.3
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.2
ASUS Zenbook 14 OLED (2023) Intel EVO P-Series Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Window...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.9
ASUS ROG Strix G16 (2023) with 90WHr Battery Intel HX-Series Intel Core i5 13th Gen 13450HX - (16 GB/1...,Moderate,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,1000.0,40.64,5.0
ASUS Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ541WS Laptop,low,Good,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,3.7
Avita Liber Intel Core i5 7th Gen 7Y54 - (8 GB/512 GB SSD/Windows 10 Home) NS13A1IN015P Thin and Light...,low,Good,Intel Core i5 Processor (7th Gen),8.0,64 bit Windows 10 Operating System,512.0,33.78,3.3
DELL Inspiron 5620 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5620 Lap...,low,Good,Intel Core i5 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,512.0,40.64,3.6
HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX ...,low,Good,AMD Ryzen 5 Hexa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.0
Infinix INBook X1 Neo Series Intel Celeron Quad Core N5100 - (8 GB/256 GB SSD/Windows 11 Home) XL22 Th...,very low,Excellent,Intel Celeron Quad Core Processor,8.0,64 bit Windows 11 Operating System,256.0,35.56,4.2
ASUS TUF Gaming F17 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,low,Good,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 11 Home Operating System,512.0,43.94,4.0
DELL core i5 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 / D560871WIN9B L...,low,Good,Intel Core i5 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,3.6
